,SIC,state_of_INC
0,5961,DE
1,5961,DE
2,2741,FL
3,6035,NJ
4,6331,CA
5,7310,DE
6,7372,DE
7,5331,CA
8,5945,PA
9,7389,DE
10,7389,DE
11,3585,NV
12,1311,0
13,2621,0
14,5010,TX
15,2834,DE
16,6162,DE
17,6162,DE
18,3714,DE
19,6099,TX
20,2834,DE
21,3829,DE
22,2836,0
23,4899,CO
24,4911,DE
25,6153,DE
26,6153,DE
27,3949State,DE
28,4841,DE
29,5010,0
30,7363,DE
31,7372,DE
32,7372,DE
33,2860,DE
34,2860,DE
35,2834,DE
36,3674,DE
37,6770,DE
38,2834,0
39,5812,DE
40,3081,DE
41,6324,CT
42,2452,MN
43,3841,NV
44,7011,NV
45,6331,DE
46,6022,MD
47,6770,DE
48,3861,NY
49,7373,OH
50,4513,DE
51,4513,DE
52,4813,DE
53,3663,DE
54,3663,DE
55,2834,LA
56,3845,DE
57,2250,DE
58,3949State,DE
59,3949State,DE
60,3949State,DE
61,3341,DE
62,3341,DE
63,3220,CA
64,2860,DE
65,0,0
66,6021,0
67,4213,GA
68,4213,GA
69,2834,DE
70,2834,NV
71,1221,DE
72,7389,DE
73,2834,DE
74,2834,DE
75,6512,DE
76,8200,DE
77,6162,DE
78,6331,DE
79,7371,X0
80,5900,NV
81,7990,DE
82,3310,NV
83,3310,NV
84,3790,DE
85,2771,OH
86,2540,DE
87,7380,NY
88,2810,DE
89,2810,DE
90,1700,DE
91,7990,DE
92,1381,DE
93,8000,DE
94,6199,TX
95,7948,DE
96,4512,DE
97,6351,DE
98,2834,DE
99,3861,IN
100,3861,IN
101,3861,IN
102,2834,0
103,7371,0
104,3841,MN
105,3841,0
106,3842,DE
107,7372,PA
108,4833,0
109,2834,DE
110,3841,DE
111,5700,MN
112,3634,FL
113,3841,DE
114,8731,DE
115,7372,MA
116,7372,0
117,4911,DE
118,4911,DE
119,3845,CA
120,3845,CA
121,3845,CA
122,7389,DE
123,7389,DE
124,7389,DE
125,4400,0
126,1381,DE
127,4812,DE
128,4812,DE
129,4812,DE
130,4812,DE
131,7011,NV
132,7011,NV
133,2834,DE
134,2835,DE
135,2836,DE
136,2834,DE
137,7372,DE
138,7389,0
