,Company.CIK,Target.Company,Switch.Date,Event__,Filer.CIK,Date.of.13g,Switcher,INDEX_URL,EDGAR_LINK__,SIC,state_of_INC
1623,1005751,SUPERIOR__SERVICES__INC,6/21/1999,1137,1010638,10/27/1992,TATE JOSEPH P,0,0,0,0
699,40970,GENOVESE__DRUG__STORES__INC,11/10/1994,67,918861,2/14/1994,,0,0,0,0
1402,75754,PAINE WEBBER GROUP INC ,2/8/2000,231,807985,7/11/1994,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/75754/0000950144-94-001318-index.htm,https://www.sec.gov/Archives/edgar/data/75754/0000950144-94-001318.txt,6211,DE
2236,3449,ALEXANDER ALEXANDER SERVICES INC ,2/8/2000,231,807985,2/9/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/3449/0000807985-95-000008-index.htm,https://www.sec.gov/Archives/edgar/data/3449/0000807985-95-000008.txt,6411,MD
2311,775368,ALLEGHANY CORP DE ,2/8/2000,231,807985,2/9/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/775368/0000807985-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/775368/0000807985-95-000009.txt,6361,DE
2332,100817,UNION CORP ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/100817/0000807985-95-000026-index.htm,https://www.sec.gov/Archives/edgar/data/100817/0000807985-95-000026.txt,7320,DE
2357,110985,CRAIG CORP ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/110985/0000807985-95-000016-index.htm,https://www.sec.gov/Archives/edgar/data/110985/0000807985-95-000016.txt,8742,DE
2364,225051,ARDEN GROUP INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/225051/0000807985-95-000013-index.htm,https://www.sec.gov/Archives/edgar/data/225051/0000807985-95-000013.txt,5411,DE
2366,25232,COUSINS PROPERTIES INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/25232/0000807985-95-000015-index.htm,https://www.sec.gov/Archives/edgar/data/25232/0000807985-95-000015.txt,6798,GA
2370,31462,ECOLAB INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/31462/0000807985-95-000018-index.htm,https://www.sec.gov/Archives/edgar/data/31462/0000807985-95-000018.txt,2840,DE
2470,3453,ALEXANDER BALDWIN INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/3453/0000807985-95-000014-index.htm,https://www.sec.gov/Archives/edgar/data/3453/0000807985-95-000014.txt,4400,HI
2477,37914,FOODARAMA SUPERMARKETS INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000019-index.htm,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000019.txt,5411,NJ
2483,43952,GREY ADVERTISING INC DE ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/43952/0000807985-95-000020-index.htm,https://www.sec.gov/Archives/edgar/data/43952/0000807985-95-000020.txt,7311,DE
2542,729970,DELCHAMPS INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/729970/0000807985-95-000017-index.htm,https://www.sec.gov/Archives/edgar/data/729970/0000807985-95-000017.txt,5411,AL
2544,733060,PIONEER GROUP INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/733060/0000807985-95-000023-index.htm,https://www.sec.gov/Archives/edgar/data/733060/0000807985-95-000023.txt,6282,DE
2549,745142,CURTIS HELENE INDUSTRIES INC DE ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/745142/0000807985-95-000021-index.htm,https://www.sec.gov/Archives/edgar/data/745142/0000807985-95-000021.txt,2844,DE
